Run_ID,Scenario_ID,Scenario_Name,Seed,Arrival_Interval_min,Assembly_Capacity,Planned_Orders,Input_Units,Completed_Units,End_WIP,Throughput_per_hour,AssemblyOperator_Utilization,Primary_Bottleneck,Bottleneck_Utilization,Run_Length_min,Evidence_File,Data_Status
S0-R01,S0,Baseline_8h,1,30,2,16,16,14,2,1.75,0.88,AssemblyOperator,0.87,480,Baseline_8h_Seed01.png,Verified against finished-run screenshot
S0-R02,S0,Baseline_8h,2,30,2,16,16,14,2,1.75,0.85,AssemblyOperator,0.84,480,Baseline_8h_Seed02.png,Verified against finished-run screenshot
S0-R03,S0,Baseline_8h,3,30,2,16,16,14,2,1.75,0.82,AssemblyOperator,0.82,480,Baseline_8h_Seed03.png,Verified against finished-run screenshot
S0-R04,S0,Baseline_8h,4,30,2,16,16,14,2,1.75,0.84,AssemblyOperator,0.83,480,Baseline_8h_Seed04.png,Verified against finished-run screenshot
S0-R05,S0,Baseline_8h,5,30,2,16,16,14,2,1.75,0.84,AssemblyOperator,0.83,480,Baseline_8h_Seed05.png,Verified against finished-run screenshot
S0-R06,S0,Baseline_8h,6,30,2,16,16,14,2,1.75,0.84,AssemblyOperator,0.84,480,Baseline_8h_Seed06.png,Verified against finished-run screenshot
S0-R07,S0,Baseline_8h,7,30,2,16,16,14,2,1.75,0.85,AssemblyOperator,0.85,480,Baseline_8h_Seed07.png,Verified against finished-run screenshot
S0-R08,S0,Baseline_8h,8,30,2,16,16,14,2,1.75,0.82,AssemblyOperator,0.81,480,Baseline_8h_Seed08.png,Verified against finished-run screenshot
S0-R09,S0,Baseline_8h,9,30,2,16,16,14,2,1.75,0.82,AssemblyOperator,0.81,480,Baseline_8h_Seed09.png,Verified against finished-run screenshot
S0-R10,S0,Baseline_8h,10,30,2,16,16,14,2,1.75,0.84,AssemblyOperator,0.84,480,Baseline_8h_Seed10.png,Verified against finished-run screenshot
S1-R01,S1,HighDemand_8h,1,20,2,24,24,13,11,1.625,0.94,AssemblyOperator,0.94,480,HighDemand_8h_Seed01.png,Verified against finished-run screenshot
S1-R02,S1,HighDemand_8h,2,20,2,24,24,13,11,1.625,0.95,AssemblyOperator,0.95,480,HighDemand_8h_Seed02.png,Verified against finished-run screenshot
S1-R03,S1,HighDemand_8h,3,20,2,24,24,13,11,1.625,0.9,AssemblyOperator,0.89,480,HighDemand_8h_Seed03.png,Verified against finished-run screenshot
S1-R04,S1,HighDemand_8h,4,20,2,24,24,12,12,1.5,0.92,AssemblyOperator,0.91,480,HighDemand_8h_Seed04.png,Verified against finished-run screenshot
S1-R05,S1,HighDemand_8h,5,20,2,24,24,12,12,1.5,0.93,AssemblyOperator,0.93,480,HighDemand_8h_Seed05.png,Verified against finished-run screenshot
S1-R06,S1,HighDemand_8h,6,20,2,24,24,13,11,1.625,0.96,AssemblyOperator,0.95,480,HighDemand_8h_Seed06.png,Verified against finished-run screenshot
S1-R07,S1,HighDemand_8h,7,20,2,24,24,12,12,1.5,0.93,AssemblyOperator,0.93,480,HighDemand_8h_Seed07.png,Verified against finished-run screenshot
S1-R08,S1,HighDemand_8h,8,20,2,24,24,13,11,1.625,0.94,AssemblyOperator,0.93,480,HighDemand_8h_Seed08.png,Verified against finished-run screenshot
S1-R09,S1,HighDemand_8h,9,20,2,24,24,12,12,1.5,0.94,AssemblyOperator,0.93,480,HighDemand_8h_Seed09.png,Verified against finished-run screenshot
S1-R10,S1,HighDemand_8h,10,20,2,24,24,12,12,1.5,0.94,AssemblyOperator,0.94,480,HighDemand_8h_Seed10.png,Verified against finished-run screenshot
S2-R01,S2,HighDemand_3Operators,1,20,3,24,24,19,5,2.375,0.79,MechanicalBench,0.98,480,HighDemand_3Operators_Seed01.png,Verified against finished-run screenshot
S2-R02,S2,HighDemand_3Operators,2,20,3,24,24,17,7,2.125,0.74,MechanicalBench,0.98,480,HighDemand_3Operators_Seed02.png,Verified against finished-run screenshot
S2-R03,S2,HighDemand_3Operators,3,20,3,24,24,20,4,2.5,0.8,MechanicalBench,0.97,480,HighDemand_3Operators_Seed03.png,Verified against finished-run screenshot
S2-R04,S2,HighDemand_3Operators,4,20,3,24,24,17,7,2.125,0.76,MechanicalBench,0.98,480,HighDemand_3Operators_Seed04.png,Verified against finished-run screenshot
S2-R05,S2,HighDemand_3Operators,5,20,3,24,24,20,4,2.5,0.8,MechanicalBench,0.96,480,HighDemand_3Operators_Seed05.png,Verified against finished-run screenshot
S2-R06,S2,HighDemand_3Operators,6,20,3,24,24,20,4,2.5,0.81,MechanicalBench,0.97,480,HighDemand_3Operators_Seed06.png,Verified against finished-run screenshot
S2-R07,S2,HighDemand_3Operators,7,20,3,24,24,18,6,2.25,0.77,MechanicalBench,0.98,480,HighDemand_3Operators_Seed07.png,Verified against finished-run screenshot
S2-R08,S2,HighDemand_3Operators,8,20,3,24,24,20,4,2.5,0.81,MechanicalBench,0.96,480,HighDemand_3Operators_Seed08.png,Verified against finished-run screenshot
S2-R09,S2,HighDemand_3Operators,9,20,3,24,24,19,5,2.375,0.79,MechanicalBench,0.98,480,HighDemand_3Operators_Seed09.png,Verified against finished-run screenshot
S2-R10,S2,HighDemand_3Operators,10,20,3,24,24,17,7,2.125,0.76,MechanicalBench,0.97,480,HighDemand_3Operators_Seed10.png,Verified against finished-run screenshot
